i,qa,qs,qn,x,n,expected_rho,subset_qa_qs_qn_x_n,replicate_id,successes,observed_rho
8,0.0669,0.4767,0.4564,0.7736000000000001,1288,0.4357,S8_0.0669_0.4767_0.4564_0.7736_1288,R4,551,0.4278
8,0.0669,0.4767,0.4564,0.7736000000000001,1288,0.4357,S8_0.0669_0.4767_0.4564_0.7736_1288,R5,551,0.4278
9,0.0835,0.5211,0.3954,0.21330000000000002,1884,0.1947,S9_0.0835_0.5211_0.3954_0.2133_1884,R1,368,0.1953
9,0.0835,0.5211,0.3954,0.21330000000000002,1884,0.1947,S9_0.0835_0.5211_0.3954_0.2133_1884,R2,367,0.1948
9,0.0835,0.5211,0.3954,0.21330000000000002,1884,0.1947,S9_0.0835_0.5211_0.3954_0.2133_1884,R3,377,0.2001
9,0.0835,0.5211,0.3954,0.21330000000000002,1884,0.1947,S9_0.0835_0.5211_0.3954_0.2133_1884,R4,375,0.199
9,0.0835,0.5211,0.3954,0.21330000000000002,1884,0.1947,S9_0.0835_0.5211_0.3954_0.2133_1884,R5,348,0.1847
10,0.4138,0.2042,0.382,0.2036,9486,0.4554,S10_0.4138_0.2042_0.382_0.2036_9486,R1,4295,0.4528
10,0.4138,0.2042,0.382,0.2036,9486,0.4554,S10_0.4138_0.2042_0.382_0.2036_9486,R2,4267,0.4498
10,0.4138,0.2042,0.382,0.2036,9486,0.4554,S10_0.4138_0.2042_0.382_0.2036_9486,R3,4292,0.4525
10,0.4138,0.2042,0.382,0.2036,9486,0.4554,S10_0.4138_0.2042_0.382_0.2036_9486,R4,4273,0.4505
10,0.4138,0.2042,0.382,0.2036,9486,0.4554,S10_0.4138_0.2042_0.382_0.2036_9486,R5,4263,0.4494
11,0.3808,0.4188,0.2004,0.6333000000000001,6785,0.646,S11_0.3808_0.4188_0.2004_0.6333_6785,R1,4393,0.6475
11,0.3808,0.4188,0.2004,0.6333000000000001,6785,0.646,S11_0.3808_0.4188_0.2004_0.6333_6785,R2,4342,0.6399
11,0.3808,0.4188,0.2004,0.6333000000000001,6785,0.646,S11_0.3808_0.4188_0.2004_0.6333_6785,R3,4427,0.6525
11,0.3808,0.4188,0.2004,0.6333000000000001,6785,0.646,S11_0.3808_0.4188_0.2004_0.6333_6785,R4,4401,0.6486
11,0.3808,0.4188,0.2004,0.6333000000000001,6785,0.646,S11_0.3808_0.4188_0.2004_0.6333_6785,R5,4367,0.6436
12,0.4502,0.0026,0.5472,0.761,2322,0.4522,S12_0.4502_0.0026_0.5472_0.761_2322,R1,1040,0.4479
12,0.4502,0.0026,0.5472,0.761,2322,0.4522,S12_0.4502_0.0026_0.5472_0.761_2322,R2,1038,0.447
12,0.4502,0.0026,0.5472,0.761,2322,0.4522,S12_0.4502_0.0026_0.5472_0.761_2322,R3,1039,0.4475
12,0.4502,0.0026,0.5472,0.761,2322,0.4522,S12_0.4502_0.0026_0.5472_0.761_2322,R4,1040,0.4479
12,0.4502,0.0026,0.5472,0.761,2322,0.4522,S12_0.4502_0.0026_0.5472_0.761_2322,R5,1039,0.4475
13,0.0065,0.1851,0.8083,0.808,4956,0.1561,S13_0.0065_0.1851_0.8083_0.808_4956,R1,751,0.1515
13,0.0065,0.1851,0.8083,0.808,4956,0.1561,S13_0.0065_0.1851_0.8083_0.808_4956,R2,741,0.1495
13,0.0065,0.1851,0.8083,0.808,4956,0.1561,S13_0.0065_0.1851_0.8083_0.808_4956,R3,768,0.155
13,0.0065,0.1851,0.8083,0.808,4956,0.1561,S13_0.0065_0.1851_0.8083_0.808_4956,R4,774,0.1562
13,0.0065,0.1851,0.8083,0.808,4956,0.1561,S13_0.0065_0.1851_0.8083_0.808_4956,R5,772,0.1558
14,0.4287,0.266,0.3054,0.8290000000000001,4647,0.6492,S14_0.4287_0.266_0.3054_0.829_4647,R1,3022,0.6503
14,0.4287,0.266,0.3054,0.8290000000000001,4647,0.6492,S14_0.4287_0.266_0.3054_0.829_4647,R2,3037,0.6535
14,0.4287,0.266,0.3054,0.8290000000000001,4647,0.6492,S14_0.4287_0.266_0.3054_0.829_4647,R3,3021,0.6501
14,0.4287,0.266,0.3054,0.8290000000000001,4647,0.6492,S14_0.4287_0.266_0.3054_0.829_4647,R4,3005,0.6467
14,0.4287,0.266,0.3054,0.8290000000000001,4647,0.6492,S14_0.4287_0.266_0.3054_0.829_4647,R5,3013,0.6484
15,0.0259,0.6748,0.2993,0.11850000000000001,3083,0.1059,S15_0.0259_0.6748_0.2993_0.1185_3083,R1,331,0.1074
15,0.0259,0.6748,0.2993,0.11850000000000001,3083,0.1059,S15_0.0259_0.6748_0.2993_0.1185_3083,R2,342,0.1109
15,0.0259,0.6748,0.2993,0.11850000000000001,3083,0.1059,S15_0.0259_0.6748_0.2993_0.1185_3083,R3,325,0.1054
15,0.0259,0.6748,0.2993,0.11850000000000001,3083,0.1059,S15_0.0259_0.6748_0.2993_0.1185_3083,R4,340,0.1103
15,0.0259,0.6748,0.2993,0.11850000000000001,3083,0.1059,S15_0.0259_0.6748_0.2993_0.1185_3083,R5,343,0.1113
16,0.3853,0.3572,0.2575,0.2813,7187,0.4858,S16_0.3853_0.3572_0.2575_0.2813_7187,R1,3505,0.4877
16,0.3853,0.3572,0.2575,0.2813,7187,0.4858,S16_0.3853_0.3572_0.2575_0.2813_7187,R2,3536,0.492
16,0.3853,0.3572,0.2575,0.2813,7187,0.4858,S16_0.3853_0.3572_0.2575_0.2813_7187,R3,3531,0.4913
16,0.3853,0.3572,0.2575,0.2813,7187,0.4858,S16_0.3853_0.3572_0.2575_0.2813_7187,R4,3551,0.4941
16,0.3853,0.3572,0.2575,0.2813,7187,0.4858,S16_0.3853_0.3572_0.2575_0.2813_7187,R5,3495,0.4863
17,0.5049,0.3218,0.1734,0.8469,2954,0.7774,S17_0.5049_0.3218_0.1734_0.8469_2954,R1,2293,0.7762
17,0.5049,0.3218,0.1734,0.8469,2954,0.7774,S17_0.5049_0.3218_0.1734_0.8469_2954,R2,2275,0.7701
17,0.5049,0.3218,0.1734,0.8469,2954,0.7774,S17_0.5049_0.3218_0.1734_0.8469_2954,R3,2272,0.7691
17,0.5049,0.3218,0.1734,0.8469,2954,0.7774,S17_0.5049_0.3218_0.1734_0.8469_2954,R4,2287,0.7742
17,0.5049,0.3218,0.1734,0.8469,2954,0.7774,S17_0.5049_0.3218_0.1734_0.8469_2954,R5,2279,0.7715
18,0.2266,0.2605,0.5129,0.1085,8480,0.2549,S18_0.2266_0.2605_0.5129_0.1085_8480,R1,2117,0.2496
18,0.2266,0.2605,0.5129,0.1085,8480,0.2549,S18_0.2266_0.2605_0.5129_0.1085_8480,R2,2124,0.2505
18,0.2266,0.2605,0.5129,0.1085,8480,0.2549,S18_0.2266_0.2605_0.5129_0.1085_8480,R3,2134,0.2517
18,0.2266,0.2605,0.5129,0.1085,8480,0.2549,S18_0.2266_0.2605_0.5129_0.1085_8480,R4,2125,0.2506
18,0.2266,0.2605,0.5129,0.1085,8480,0.2549,S18_0.2266_0.2605_0.5129_0.1085_8480,R5,2151,0.2537
19,0.0266,0.5111,0.4623,0.017400000000000002,7385,0.0355,S19_0.0266_0.5111_0.4623_0.0174_7385,R1,238,0.0322
19,0.0266,0.5111,0.4623,0.017400000000000002,7385,0.0355,S19_0.0266_0.5111_0.4623_0.0174_7385,R2,254,0.0344
19,0.0266,0.5111,0.4623,0.017400000000000002,7385,0.0355,S19_0.0266_0.5111_0.4623_0.0174_7385,R3,235,0.0318
19,0.0266,0.5111,0.4623,0.017400000000000002,7385,0.0355,S19_0.0266_0.5111_0.4623_0.0174_7385,R4,262,0.0355
19,0.0266,0.5111,0.4623,0.017400000000000002,7385,0.0355,S19_0.0266_0.5111_0.4623_0.0174_7385,R5,254,0.0344
20,0.1809,0.2758,0.5433,0.41340000000000005,5709,0.2949,S20_0.1809_0.2758_0.5433_0.4134_5709,R1,1723,0.3018
20,0.1809,0.2758,0.5433,0.41340000000000005,5709,0.2949,S20_0.1809_0.2758_0.5433_0.4134_5709,R2,1702,0.2981
20,0.1809,0.2758,0.5433,0.41340000000000005,5709,0.2949,S20_0.1809_0.2758_0.5433_0.4134_5709,R3,1670,0.2925
20,0.1809,0.2758,0.5433,0.41340000000000005,5709,0.2949,S20_0.1809_0.2758_0.5433_0.4134_5709,R4,1682,0.2946
20,0.1809,0.2758,0.5433,0.41340000000000005,5709,0.2949,S20_0.1809_0.2758_0.5433_0.4134_5709,R5,1719,0.3011
21,0.2794,0.4065,0.3141,0.5909,1482,0.5196,S21_0.2794_0.4065_0.3141_0.5909_1482,R1,815,0.54990000000000006
21,0.2794,0.4065,0.3141,0.5909,1482,0.5196,S21_0.2794_0.4065_0.3141_0.5909_1482,R2,769,0.5189
21,0.2794,0.4065,0.3141,0.5909,1482,0.5196,S21_0.2794_0.4065_0.3141_0.5909_1482,R3,778,0.525
21,0.2794,0.4065,0.3141,0.5909,1482,0.5196,S21_0.2794_0.4065_0.3141_0.5909_1482,R4,786,0.5304
21,0.2794,0.4065,0.3141,0.5909,1482,0.5196,S21_0.2794_0.4065_0.3141_0.5909_1482,R5,763,0.5148
22,0.3528,0.5292,0.118,0.5163,6621,0.626,S22_0.3528_0.5292_0.118_0.5163_6621,R1,4136,0.6247
22,0.3528,0.5292,0.118,0.5163,6621,0.626,S22_0.3528_0.5292_0.118_0.5163_6621,R2,4109,0.6206
22,0.3528,0.5292,0.118,0.5163,6621,0.626,S22_0.3528_0.5292_0.118_0.5163_6621,R3,4139,0.6251
22,0.3528,0.5292,0.118,0.5163,6621,0.626,S22_0.3528_0.5292_0.118_0.5163_6621,R4,4130,0.6238
22,0.3528,0.5292,0.118,0.5163,6621,0.626,S22_0.3528_0.5292_0.118_0.5163_6621,R5,4088,0.6174
23,0.1513,0.462,0.3867,0.9347000000000001,7956,0.5831,S23_0.1513_0.462_0.3867_0.9347_7956,R1,4652,0.5847
23,0.1513,0.462,0.3867,0.9347000000000001,7956,0.5831,S23_0.1513_0.462_0.3867_0.9347_7956,R2,4630,0.582
23,0.1513,0.462,0.3867,0.9347000000000001,7956,0.5831,S23_0.1513_0.462_0.3867_0.9347_7956,R3,4635,0.5826
23,0.1513,0.462,0.3867,0.9347000000000001,7956,0.5831,S23_0.1513_0.462_0.3867_0.9347_7956,R4,4639,0.5831
23,0.1513,0.462,0.3867,0.9347000000000001,7956,0.5831,S23_0.1513_0.462_0.3867_0.9347_7956,R5,4633,0.5823
24,0.5673,0.1014,0.3313,0.2605,4443,0.5937,S24_0.5673_0.1014_0.3313_0.2605_4443,R1,2635,0.5931
24,0.5673,0.1014,0.3313,0.2605,4443,0.5937,S24_0.5673_0.1014_0.3313_0.2605_4443,R2,2641,0.5944
24,0.5673,0.1014,0.3313,0.2605,4443,0.5937,S24_0.5673_0.1014_0.3313_0.2605_4443,R3,2647,0.5958
24,0.5673,0.1014,0.3313,0.2605,4443,0.5937,S24_0.5673_0.1014_0.3313_0.2605_4443,R4,2657,0.598
24,0.5673,0.1014,0.3313,0.2605,4443,0.5937,S24_0.5673_0.1014_0.3313_0.2605_4443,R5,2640,0.5942
25,0.2423,0.5367,0.221,0.7107,7061,0.6237,S25_0.2423_0.5367_0.221_0.7107_7061,R1,4423,0.6264
25,0.2423,0.5367,0.221,0.7107,7061,0.6237,S25_0.2423_0.5367_0.221_0.7107_7061,R2,4424,0.6265
25,0.2423,0.5367,0.221,0.7107,7061,0.6237,S25_0.2423_0.5367_0.221_0.7107_7061,R3,4362,0.6178
25,0.2423,0.5367,0.221,0.7107,7061,0.6237,S25_0.2423_0.5367_0.221_0.7107_7061,R4,4401,0.6233
25,0.2423,0.5367,0.221,0.7107,7061,0.6237,S25_0.2423_0.5367_0.221_0.7107_7061,R5,4387,0.6213
26,0.6523,0.0072,0.3405,0.1681,1259,0.6535,S26_0.6523_0.0072_0.3405_0.1681_1259,R1,783,0.6219
26,0.6523,0.0072,0.3405,0.1681,1259,0.6535,S26_0.6523_0.0072_0.3405_0.1681_1259,R2,783,0.6219
26,0.6523,0.0072,0.3405,0.1681,1259,0.6535,S26_0.6523_0.0072_0.3405_0.1681_1259,R3,781,0.6203
26,0.6523,0.0072,0.3405,0.1681,1259,0.6535,S26_0.6523_0.0072_0.3405_0.1681_1259,R4,783,0.6219
26,0.6523,0.0072,0.3405,0.1681,1259,0.6535,S26_0.6523_0.0072_0.3405_0.1681_1259,R5,784,0.6227
27,0.4687,0.0014,0.5299,0.8199000000000001,2729,0.4698,S27_0.4687_0.0014_0.5299_0.8199_2729,R1,1263,0.4628
27,0.4687,0.0014,0.5299,0.8199000000000001,2729,0.4698,S27_0.4687_0.0014_0.5299_0.8199_2729,R2,1263,0.4628
27,0.4687,0.0014,0.5299,0.8199000000000001,2729,0.4698,S27_0.4687_0.0014_0.5299_0.8199_2729,R3,1263,0.4628
27,0.4687,0.0014,0.5299,0.8199000000000001,2729,0.4698,S27_0.4687_0.0014_0.5299_0.8199_2729,R4,1264,0.4632
27,0.4687,0.0014,0.5299,0.8199000000000001,2729,0.4698,S27_0.4687_0.0014_0.5299_0.8199_2729,R5,1263,0.4628
28,0.1358,0.3088,0.5554,0.7501,7600,0.3674,S28_0.1358_0.3088_0.5554_0.7501_7600,R1,2730,0.3592
28,0.1358,0.3088,0.5554,0.7501,7600,0.3674,S28_0.1358_0.3088_0.5554_0.7501_7600,R2,2686,0.3534
28,0.1358,0.3088,0.5554,0.7501,7600,0.3674,S28_0.1358_0.3088_0.5554_0.7501_7600,R3,2726,0.3587
28,0.1358,0.3088,0.5554,0.7501,7600,0.3674,S28_0.1358_0.3088_0.5554_0.7501_7600,R4,2727,0.3588
28,0.1358,0.3088,0.5554,0.7501,7600,0.3674,S28_0.1358_0.3088_0.5554_0.7501_7600,R5,2712,0.3568
29,0.4932,0.3583,0.1486,0.29000000000000004,5150,0.5971,S29_0.4932_0.3583_0.1486_0.29_5150,R1,3091,0.6002
29,0.4932,0.3583,0.1486,0.29000000000000004,5150,0.5971,S29_0.4932_0.3583_0.1486_0.29_5150,R2,3083,0.5986
29,0.4932,0.3583,0.1486,0.29000000000000004,5150,0.5971,S29_0.4932_0.3583_0.1486_0.29_5150,R3,3092,0.6004
29,0.4932,0.3583,0.1486,0.29000000000000004,5150,0.5971,S29_0.4932_0.3583_0.1486_0.29_5150,R4,3076,0.5973
29,0.4932,0.3583,0.1486,0.29000000000000004,5150,0.5971,S29_0.4932_0.3583_0.1486_0.29_5150,R5,3081,0.5983
30,0.1871,0.1781,0.6348,0.17980000000000002,5037,0.2191,S30_0.1871_0.1781_0.6348_0.1798_5037,R1,1173,0.2329
30,0.1871,0.1781,0.6348,0.17980000000000002,5037,0.2191,S30_0.1871_0.1781_0.6348_0.1798_5037,R2,1139,0.2261
30,0.1871,0.1781,0.6348,0.17980000000000002,5037,0.2191,S30_0.1871_0.1781_0.6348_0.1798_5037,R3,1141,0.2265
30,0.1871,0.1781,0.6348,0.17980000000000002,5037,0.2191,S30_0.1871_0.1781_0.6348_0.1798_5037,R4,1148,0.2279
30,0.1871,0.1781,0.6348,0.17980000000000002,5037,0.2191,S30_0.1871_0.1781_0.6348_0.1798_5037,R5,1133,0.2249
31,0.7617,3e-4,0.238,0.6173000000000001,8327,0.7619,S31_0.7617_3e-04_0.238_0.6173_8327,R1,6418,0.7707
31,0.7617,3e-4,0.238,0.6173000000000001,8327,0.7619,S31_0.7617_3e-04_0.238_0.6173_8327,R2,6418,0.7707
31,0.7617,3e-4,0.238,0.6173000000000001,8327,0.7619,S31_0.7617_3e-04_0.238_0.6173_8327,R3,6418,0.7707
31,0.7617,3e-4,0.238,0.6173000000000001,8327,0.7619,S31_0.7617_3e-04_0.238_0.6173_8327,R4,6418,0.7707
31,0.7617,3e-4,0.238,0.6173000000000001,8327,0.7619,S31_0.7617_3e-04_0.238_0.6173_8327,R5,6418,0.7707
32,0.3599,0.357,0.2831,0.6123000000000001,9188,0.5785,S32_0.3599_0.357_0.2831_0.6123_9188,R1,5306,0.5775
32,0.3599,0.357,0.2831,0.6123000000000001,9188,0.5785,S32_0.3599_0.357_0.2831_0.6123_9188,R2,5271,0.5737
32,0.3599,0.357,0.2831,0.6123000000000001,9188,0.5785,S32_0.3599_0.357_0.2831_0.6123_9188,R3,5263,0.5728
32,0.3599,0.357,0.2831,0.6123000000000001,9188,0.5785,S32_0.3599_0.357_0.2831_0.6123_9188,R4,5347,0.582
32,0.3599,0.357,0.2831,0.6123000000000001,9188,0.5785,S32_0.3599_0.357_0.2831_0.6123_9188,R5,5326,0.5797
33,0.2092,0.3235,0.4673,0.8658,9205,0.4893,S33_0.2092_0.3235_0.4673_0.8658_9205,R1,4495,0.4883
33,0.2092,0.3235,0.4673,0.8658,9205,0.4893,S33_0.2092_0.3235_0.4673_0.8658_9205,R2,4491,0.4879
33,0.2092,0.3235,0.4673,0.8658,9205,0.4893,S33_0.2092_0.3235_0.4673_0.8658_9205,R3,4506,0.4895
33,0.2092,0.3235,0.4673,0.8658,9205,0.4893,S33_0.2092_0.3235_0.4673_0.8658_9205,R4,4493,0.4881
33,0.2092,0.3235,0.4673,0.8658,9205,0.4893,S33_0.2092_0.3235_0.4673_0.8658_9205,R5,4484,0.4871
34,0.4233,0.4282,0.1485,0.6397,9247,0.6972,S34_0.4233_0.4282_0.1485_0.6397_9247,R1,6479,0.7007
34,0.4233,0.4282,0.1485,0.6397,9247,0.6972,S34_0.4233_0.4282_0.1485_0.6397_9247,R2,6491,0.702
34,0.4233,0.4282,0.1485,0.6397,9247,0.6972,S34_0.4233_0.4282_0.1485_0.6397_9247,R3,6486,0.7014
34,0.4233,0.4282,0.1485,0.6397,9247,0.6972,S34_0.4233_0.4282_0.1485_0.6397_9247,R4,6528,0.706
34,0.4233,0.4282,0.1485,0.6397,9247,0.6972,S34_0.4233_0.4282_0.1485_0.6397_9247,R5,6479,0.7007
35,0.1399,0.2513,0.6088,0.09190000000000001,9386,0.163,S35_0.1399_0.2513_0.6088_0.0919_9386,R1,1560,0.1662
35,0.1399,0.2513,0.6088,0.09190000000000001,9386,0.163,S35_0.1399_0.2513_0.6088_0.0919_9386,R2,1549,0.165
35,0.1399,0.2513,0.6088,0.09190000000000001,9386,0.163,S35_0.1399_0.2513_0.6088_0.0919_9386,R3,1550,0.1651
35,0.1399,0.2513,0.6088,0.09190000000000001,9386,0.163,S35_0.1399_0.2513_0.6088_0.0919_9386,R4,1552,0.1654
35,0.1399,0.2513,0.6088,0.09190000000000001,9386,0.163,S35_0.1399_0.2513_0.6088_0.0919_9386,R5,1532,0.1632
36,0.3952,0.3038,0.301,0.8674000000000001,5856,0.6587,S36_0.3952_0.3038_0.301_0.8674_5856,R1,3872,0.6612
36,0.3952,0.3038,0.301,0.8674000000000001,5856,0.6587,S36_0.3952_0.3038_0.301_0.8674_5856,R2,3890,0.6643
36,0.3952,0.3038,0.301,0.8674000000000001,5856,0.6587,S36_0.3952_0.3038_0.301_0.8674_5856,R3,3867,0.6603
36,0.3952,0.3038,0.301,0.8674000000000001,5856,0.6587,S36_0.3952_0.3038_0.301_0.8674_5856,R4,3857,0.6586
36,0.3952,0.3038,0.301,0.8674000000000001,5856,0.6587,S36_0.3952_0.3038_0.301_0.8674_5856,R5,3874,0.6615
37,0.4671,0.002,0.5309,0.8418,6803,0.4688,S37_0.4671_0.002_0.5309_0.8418_6803,R1,3215,0.4726
37,0.4671,0.002,0.5309,0.8418,6803,0.4688,S37_0.4671_0.002_0.5309_0.8418_6803,R2,3215,0.4726
37,0.4671,0.002,0.5309,0.8418,6803,0.4688,S37_0.4671_0.002_0.5309_0.8418_6803,R3,3214,0.4724
37,0.4671,0.002,0.5309,0.8418,6803,0.4688,S37_0.4671_0.002_0.5309_0.8418_6803,R4,3212,0.4721
37,0.4671,0.002,0.5309,0.8418,6803,0.4688,S37_0.4671_0.002_0.5309_0.8418_6803,R5,3213,0.4723
38,0.41,0.3682,0.2218,0.4955,1546,0.5924,S38_0.41_0.3682_0.2218_0.4955_1546,R1,906,0.586
38,0.41,0.3682,0.2218,0.4955,1546,0.5924,S38_0.41_0.3682_0.2218_0.4955_1546,R2,902,0.5834
38,0.41,0.3682,0.2218,0.4955,1546,0.5924,S38_0.41_0.3682_0.2218_0.4955_1546,R3,929,0.6009
38,0.41,0.3682,0.2218,0.4955,1546,0.5924,S38_0.41_0.3682_0.2218_0.4955_1546,R4,918,0.5938
38,0.41,0.3682,0.2218,0.4955,1546,0.5924,S38_0.41_0.3682_0.2218_0.4955_1546,R5,922,0.5964
39,0.4986,0.5001,0.0013,0.07930000000000001,4736,0.5383,S39_0.4986_0.5001_0.0013_0.0793_4736,R1,2554,0.5393
39,0.4986,0.5001,0.0013,0.07930000000000001,4736,0.5383,S39_0.4986_0.5001_0.0013_0.0793_4736,R2,2570,0.5427
39,0.4986,0.5001,0.0013,0.07930000000000001,4736,0.5383,S39_0.4986_0.5001_0.0013_0.0793_4736,R3,2551,0.5386
39,0.4986,0.5001,0.0013,0.07930000000000001,4736,0.5383,S39_0.4986_0.5001_0.0013_0.0793_4736,R4,2559,0.5403
39,0.4986,0.5001,0.0013,0.07930000000000001,4736,0.5383,S39_0.4986_0.5001_0.0013_0.0793_4736,R5,2586,0.546
40,0.198,0.3407,0.4614,0.0216,5654,0.2054,S40_0.198_0.3407_0.4614_0.0216_5654,R1,1161,0.2053
40,0.198,0.3407,0.4614,0.0216,5654,0.2054,S40_0.198_0.3407_0.4614_0.0216_5654,R2,1150,0.2034
40,0.198,0.3407,0.4614,0.0216,5654,0.2054,S40_0.198_0.3407_0.4614_0.0216_5654,R3,1153,0.2039
40,0.198,0.3407,0.4614,0.0216,5654,0.2054,S40_0.198_0.3407_0.4614_0.0216_5654,R4,1158,0.2048
40,0.198,0.3407,0.4614,0.0216,5654,0.2054,S40_0.198_0.3407_0.4614_0.0216_5654,R5,1161,0.2053
41,0.266,0.3063,0.4277,0.3089,7081,0.3606,S41_0.266_0.3063_0.4277_0.3089_7081,R1,2559,0.3614
41,0.266,0.3063,0.4277,0.3089,7081,0.3606,S41_0.266_0.3063_0.4277_0.3089_7081,R2,2554,0.3607
41,0.266,0.3063,0.4277,0.3089,7081,0.3606,S41_0.266_0.3063_0.4277_0.3089_7081,R3,2533,0.3577
41,0.266,0.3063,0.4277,0.3089,7081,0.3606,S41_0.266_0.3063_0.4277_0.3089_7081,R4,2567,0.3625
41,0.266,0.3063,0.4277,0.3089,7081,0.3606,S41_0.266_0.3063_0.4277_0.3089_7081,R5,2574,0.3635
42,0.346,0.4223,0.2317,0.7317,4262,0.655,S42_0.346_0.4223_0.2317_0.7317_4262,R1,2772,0.6504
